date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:47	163958/163958	---M--	200	added ('OK')	image/jpeg	etag:%22602a562e-2b36f%22	https://templates.hibootstrap.com/maxon/default/assets/img/products/products-8.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/products/products-8.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
18:06:48	45452/45452	---M--	200	added ('OK')	image/jpeg	etag:%22602a5634-cb75%22	https://templates.hibootstrap.com/maxon/default/assets/img/top-products/top-products-4.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/top-products/top-products-4.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
18:06:48	31533/31533	---M--	200	added ('OK')	image/jpeg	etag:%22602a5614-862b%22	https://templates.hibootstrap.com/maxon/default/assets/img/categories/categories-1.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/categories/categories-1.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
18:06:48	26108/26108	---M--	200	added ('OK')	image/jpeg	etag:%22602a5614-6f0c%22	https://templates.hibootstrap.com/maxon/default/assets/img/categories/categories-2.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/categories/categories-2.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
18:06:48	38778/38778	---M--	200	added ('OK')	image/jpeg	etag:%22602a5614-a253%22	https://templates.hibootstrap.com/maxon/default/assets/img/categories/categories-3.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/categories/categories-3.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
18:06:48	29634/29634	---M--	200	added ('OK')	image/jpeg	etag:%22602a5614-7dce%22	https://templates.hibootstrap.com/maxon/default/assets/img/categories/categories-4.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/categories/categories-4.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
18:06:49	42291/42291	---M--	200	added ('OK')	image/jpeg	etag:%22602a5614-b2f7%22	https://templates.hibootstrap.com/maxon/default/assets/img/categories/categories-5.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/categories/categories-5.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
18:06:49	38932/38932	---M--	200	added ('OK')	image/jpeg	etag:%22602a5637-a506%22	https://templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-2.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-2.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
18:06:50	44818/44818	---M--	200	added ('OK')	image/jpeg	etag:%22602a5638-bb7a%22	https://templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-3.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-3.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
18:06:50	514899/514899	---M--	200	added ('OK')	image/png	etag:%22602a5627-7e844%22	https://templates.hibootstrap.com/maxon/default/assets/img/newsletter/newsletter.png	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/newsletter/newsletter.png	(from https://templates.hibootstrap.com/maxon/default/index.html)
